Field Site,Transplant Site,Transplant Zone,Transect,Plot #,Origin Zone,Origin Site,SA - zone,Genotype.Origin,Genotype.ID,Genotype.Rep,Date,Julian Day,Surivial,Flower.yes=1 ,Total Number of flowers,,Flower No (FROM biomass prior to outlier removed),Total Seeds,Avg No Seeds Per Flower
SFJ,Fort Johnson,Short,5,29,Short,BI,sympatric,SBI,SBI 6,G,12-Dec,347,NA,0,,,NA,NA,NA
SFJ,Fort Johnson,Short,5,30,Short,FB,sympatric,SFB,SFB 9,D,12-Dec,347,NA,0,,,NA,NA,NA
SFJ,Fort Johnson,Short,6,1,Short,FJ,sympatric,SFJ,SFJ 7,E,12-Dec,347,0,0,,,NA,NA,NA
SFJ,Fort Johnson,Short,6,2,Tall,FJ,allopatric,TFJ,TFJ 17,F,12-Dec,347,1,0,,,NA,NA,NA
SFJ,Fort Johnson,Short,6,3,Short,FB,sympatric,SFB,SFB 15,E,12-Dec,347,1,0,,,NA,NA,NA
SFJ,Fort Johnson,Short,6,4,Short,FJ,sympatric,SFJ,SFJ 6,F,12-Dec,347,1,0,,,NA,NA,NA
SFJ,Fort Johnson,Short,6,5,Tall,FB,allopatric,TFB,TFB 12,B,12-Dec,347,1,0,,,NA,NA,NA
SFJ,Fort Johnson,Short,6,6,Short,FJ,sympatric,SFJ,SFJ 9,E,12-Dec,347,1,0,,,NA,NA,NA
SFJ,Fort Johnson,Short,6,7,Short,FB,sympatric,SFB,SFB 23,E,12-Dec,347,1,1,2,,2,83,41.5
SFJ,Fort Johnson,Short,6,8,Short,BI,sympatric,SBI,SBI 9,E,12-Dec,347,1,0,,,NA,NA,NA
SFJ,Fort Johnson,Short,6,9,Tall,BI,allopatric,TBI,TBI 3,D,12-Dec,347,1,0,,,NA,NA,NA
SFJ,Fort Johnson,Short,6,10,Short,FJ,sympatric,SFJ,SFJ 16,G,12-Dec,347,1,1,1,,NA,NA,NA
SFJ,Fort Johnson,Short,6,11,Tall,FJ,allopatric,TFJ,TFJ 19,A,12-Dec,347,1,0,,,NA,NA,NA
SFJ,Fort Johnson,Short,6,12,Tall,FB,allopatric,TFB,TFB 17,F,12-Dec,347,1,0,,,NA,NA,NA
SFJ,Fort Johnson,Short,6,13,Short,FJ,sympatric,SFJ,SFJ 12,C,12-Dec,347,0,0,,,NA,NA,NA
SFJ,Fort Johnson,Short,6,14,Tall,BI,allopatric,TBI,TBI 19,H,12-Dec,347,1,0,,,NA,NA,NA
SFJ,Fort Johnson,Short,6,15,Tall,FJ,allopatric,TFJ,TFJ 1 ,B,12-Dec,347,1,0,,,NA,NA,NA
SFJ,Fort Johnson,Short,6,16,Short,BI,sympatric,SBI,SBI 19,H,12-Dec,347,1,0,,,NA,NA,NA
SFJ,Fort Johnson,Short,6,17,Short,BI,sympatric,SBI,SBI 15,F,12-Dec,347,1,0,,,NA,NA,NA
SFJ,Fort Johnson,Short,6,18,Tall,BI,allopatric,TBI,TBI 21,E,12-Dec,347,1,0,,,NA,NA,NA
SFJ,Fort Johnson,Short,6,19,Tall,FJ,allopatric,TFJ,TFJ 16,H,12-Dec,347,1,0,,,NA,NA,NA
SFJ,Fort Johnson,Short,6,20,Tall,FB,allopatric,TFB,TFB 13,C,12-Dec,347,1,0,,,NA,NA,NA
SFJ,Fort Johnson,Short,6,21,Short,FB,sympatric,SFB,SFB 2,B,12-Dec,347,1,0,,,NA,NA,NA
SFJ,Fort Johnson,Short,6,22,Short,BI,sympatric,SBI,SBI 2 ,H,12-Dec,347,1,0,,,NA,NA,NA
SFJ,Fort Johnson,Short,6,23,Tall,FB,allopatric,TFB,TFB 10,G ,12-Dec,347,1,0,,,NA,NA,NA
SFJ,Fort Johnson,Short,6,24,Tall,FJ,allopatric,TFJ,TFJ 20,H,12-Dec,347,1,0,,,NA,NA,NA
SFJ,Fort Johnson,Short,6,25,Short,FB,sympatric,SFB,SFB 11,H,12-Dec,347,1,0,,,NA,NA,NA
