Field Site,Transplant Site,Transplant Zone,Transect,Plot #,Origin Zone,Origin Site,SA - zone,SA- sitexzone,Genotype.Origin,Genotype.ID,Genotype.Rep,Surivial,Flower.yes=1,Time,Total Number of flowers
SFJ,Fort Johnson,Short,2,29,Short,BI,sympatric,allopatric,SBI,SBI 7,B,1,0,30,
SFJ,Fort Johnson,Short,2,30,Short,FB,sympatric,allopatric,SFB,SFB 19,G,1,0,30,
TFB,Folly Beach,Tall,1,1,Short,FB,allopatric,allopatric,SFB,SFB 9,E,0,0,30,
TFB,Folly Beach,Tall,1,2,Tall,BI,sympatric,allopatric,TBI,TBI 3,B,0,0,30,
TFB,Folly Beach,Tall,1,3,Tall,FJ,sympatric,allopatric,TFJ,TFJ 5,F,0,0,30,
TFB,Folly Beach,Tall,1,4,Short,FB,allopatric,allopatric,SFB,SFB 12,D,0,0,30,
TFB,Folly Beach,Tall,1,5,Short,FJ,allopatric,allopatric,SFJ,SFJ 7,G,0,0,30,
TFB,Folly Beach,Tall,1,6,Tall,FB,sympatric,sympatric,TFB,TFB 12,C,0,0,30,
TFB,Folly Beach,Tall,1,7,Short,FB,allopatric,allopatric,SFB,SFB 4,E,0,0,30,
TFB,Folly Beach,Tall,1,8,Short,BI,allopatric,allopatric,SBI,SBI 7,F,0,0,30,
TFB,Folly Beach,Tall,1,9,Tall,FJ,sympatric,allopatric,TFJ,TFJ 19,B,0,0,30,
TFB,Folly Beach,Tall,1,10,Short,FJ,allopatric,allopatric,SFJ,SFJ 22,H,1,0,30,
TFB,Folly Beach,Tall,1,11,Short,BI,allopatric,allopatric,SBI,SBI 19,A,1,0,30,
TFB,Folly Beach,Tall,1,12,Tall,FJ,sympatric,allopatric,TFJ,TFJ 20,G,1,0,30,
TFB,Folly Beach,Tall,1,13,Tall,BI,sympatric,allopatric,TBI,TBI 17,E,0,0,30,
TFB,Folly Beach,Tall,1,14,Tall,FB,sympatric,sympatric,TFB,TFB 4,Z,0,0,30,
TFB,Folly Beach,Tall,1,15,Short,BI,allopatric,allopatric,SBI,SBI 10,F,0,0,30,
TFB,Folly Beach,Tall,1,16,Short,FB,allopatric,allopatric,SFB,SFB 19,D,0,0,30,
TFB,Folly Beach,Tall,1,17,Short,FB,allopatric,allopatric,SFB,SFB 6,C,0,0,30,
TFB,Folly Beach,Tall,1,18,Tall,BI,sympatric,allopatric,TBI,TBI 4,E,0,0,30,
TFB,Folly Beach,Tall,1,19,Short,FJ,allopatric,allopatric,SFJ,SFJ 16,B,0,0,30,
TFB,Folly Beach,Tall,1,20,Short,BI,allopatric,allopatric,SBI,SBI 15,E,0,0,30,
TFB,Folly Beach,Tall,1,21,Tall,BI,sympatric,allopatric,TBI,TBI 22,A,0,0,30,
TFB,Folly Beach,Tall,1,22,Short,FJ,allopatric,allopatric,SFJ,SFJ 25,C,0,0,30,
TFB,Folly Beach,Tall,1,23,Tall,FJ,sympatric,allopatric,TFJ,TFJ 17,E,0,0,30,
TFB,Folly Beach,Tall,1,24,Tall,BI,sympatric,allopatric,TBI,TBI 21,G,0,0,30,
TFB,Folly Beach,Tall,1,25,Tall,FB,sympatric,sympatric,TFB,TFB 5,A,0,0,30,
TFB,Folly Beach,Tall,1,26,Tall,FJ,sympatric,allopatric,TFJ,TFJ 15,C,0,0,30,
TFB,Folly Beach,Tall,1,27,Tall,FB,sympatric,sympatric,TFB,TFB 1,E,0,0,30,
TFB,Folly Beach,Tall,1,28,Short,BI,allopatric,allopatric,SBI,SBI 2,G,0,0,30,
TFB,Folly Beach,Tall,1,29,Tall,FB,sympatric,sympatric,TFB,TFB 7,E,1,0,30,
TFB,Folly Beach,Tall,1,30,Short,FJ,allopatric,allopatric,SFJ,SFJ 13,B,0,0,30,
TFB,Folly Beach,Tall,2,1,Tall,BI,sympatric,allopatric,TBI,TBI 11,F,0,0,30,
TFB,Folly Beach,Tall,2,2,Short,BI,allopatric,allopatric,SBI,SBI 6,E,1,0,30,
TFB,Folly Beach,Tall,2,3,Tall,FJ,sympatric,allopatric,TFJ,TFJ 5,E,1,0,30,
TFB,Folly Beach,Tall,2,4,Tall,FJ,sympatric,allopatric,TFJ,TFJ 9,D,0,0,30,
TFB,Folly Beach,Tall,2,5,Tall,FB,sympatric,sympatric,TFB,TFB 3,B,0,0,30,
TFB,Folly Beach,Tall,2,6,Tall,BI,sympatric,allopatric,TBI,TBI 14,E,1,0,30,
TFB,Folly Beach,Tall,2,7,Tall,BI,sympatric,allopatric,TBI,TBI 1,F,0,0,30,
TFB,Folly Beach,Tall,2,8,Tall,FB,sympatric,sympatric,TFB,TFB 17,H,1,0,30,
TFB,Folly Beach,Tall,2,9,Short,FJ,allopatric,allopatric,SFJ,SFJ 12,G,0,0,30,
TFB,Folly Beach,Tall,2,10,Tall,FJ,sympatric,allopatric,TFJ,TFJ 1,E,1,0,30,
TFB,Folly Beach,Tall,2,11,Short,FB,allopatric,allopatric,SFB,SFB 2,,1,0,30,
TFB,Folly Beach,Tall,2,12,Tall,FB,sympatric,sympatric,TFB,TFB 10,A,0,0,30,
TFB,Folly Beach,Tall,2,13,Short,BI,allopatric,allopatric,SBI,SBI 16,D,0,0,30,
TFB,Folly Beach,Tall,2,14,Short,FJ,allopatric,allopatric,SFJ,SFJ 6,D,0,0,30,
TFB,Folly Beach,Tall,2,15,Short,BI,allopatric,allopatric,SBI,SBI 1,H,1,0,30,
TFB,Folly Beach,Tall,2,16,Tall,BI,sympatric,allopatric,TBI,TBI 19,C,0,0,30,
TFB,Folly Beach,Tall,2,17,Short,FB,allopatric,allopatric,SFB,SFB 11,D,0,0,30,
